component,spatial_domain,frequency,path,experiment,forcing_variant,variable,long_name,start_time,end_time,vertical_levels,units
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-historical-smbb-Z3.zarr,historical,smbb,Z3,Geopotential Height (above sea level),1850-01-01 12:00:00,2014-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-cmip6-FLNS.zarr,ssp370,cmip6,FLNS,Net longwave flux at surface,2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-cmip6-FLNSC.zarr,ssp370,cmip6,FLNSC,Clearsky net longwave flux at surface,2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-cmip6-FLUT.zarr,ssp370,cmip6,FLUT,Upwelling longwave flux at top of model,2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-cmip6-FSNS.zarr,ssp370,cmip6,FSNS,Net solar flux at surface,2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-cmip6-FSNSC.zarr,ssp370,cmip6,FSNSC,Clearsky net solar flux at surface,2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-cmip6-LHFLX.zarr,ssp370,cmip6,LHFLX,Surface latent heat flux,2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-cmip6-PRECC.zarr,ssp370,cmip6,PRECC,Convective precipitation rate (liq + ice),2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-cmip6-PRECL.zarr,ssp370,cmip6,PRECL,Large-scale (stable) precipitation rate (liq + ice),2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-cmip6-PRECSC.zarr,ssp370,cmip6,PRECSC,Convective snow rate (water equivalent),2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-cmip6-PRECSL.zarr,ssp370,cmip6,PRECSL,Large-scale (stable) snow rate (water equivalent),2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-cmip6-PSL.zarr,ssp370,cmip6,PSL,Sea level pressure,2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-cmip6-SHFLX.zarr,ssp370,cmip6,SHFLX,Surface sensible heat flux,2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-cmip6-TMQ.zarr,ssp370,cmip6,TMQ,Total (vertically integrated) precipitable water,2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-cmip6-TREFHT.zarr,ssp370,cmip6,TREFHT,Reference height temperature,2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-cmip6-TREFHTMN.zarr,ssp370,cmip6,TREFHTMN,Minimum reference height temperature over output period,2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-cmip6-TREFHTMX.zarr,ssp370,cmip6,TREFHTMX,Maximum reference height temperature over output period,2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-cmip6-TS.zarr,ssp370,cmip6,TS,Surface temperature (radiative),2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-smbb-FLNS.zarr,ssp370,smbb,FLNS,Net longwave flux at surface,2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-smbb-FLNSC.zarr,ssp370,smbb,FLNSC,Clearsky net longwave flux at surface,2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-smbb-FLUT.zarr,ssp370,smbb,FLUT,Upwelling longwave flux at top of model,2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-smbb-FSNS.zarr,ssp370,smbb,FSNS,Net solar flux at surface,2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-smbb-FSNSC.zarr,ssp370,smbb,FSNSC,Clearsky net solar flux at surface,2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-smbb-LHFLX.zarr,ssp370,smbb,LHFLX,Surface latent heat flux,2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-smbb-PRECC.zarr,ssp370,smbb,PRECC,Convective precipitation rate (liq + ice),2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-smbb-PRECL.zarr,ssp370,smbb,PRECL,Large-scale (stable) precipitation rate (liq + ice),2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-smbb-PRECSC.zarr,ssp370,smbb,PRECSC,Convective snow rate (water equivalent),2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-smbb-PRECSL.zarr,ssp370,smbb,PRECSL,Large-scale (stable) snow rate (water equivalent),2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-smbb-PSL.zarr,ssp370,smbb,PSL,Sea level pressure,2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-smbb-SHFLX.zarr,ssp370,smbb,SHFLX,Surface sensible heat flux,2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-smbb-TMQ.zarr,ssp370,smbb,TMQ,Total (vertically integrated) precipitable water,2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-smbb-TREFHT.zarr,ssp370,smbb,TREFHT,Reference height temperature,2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-smbb-TREFHTMN.zarr,ssp370,smbb,TREFHTMN,Minimum reference height temperature over output period,2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-smbb-TREFHTMX.zarr,ssp370,smbb,TREFHTMX,Maximum reference height temperature over output period,2015-01-01 12:00:00,2100-12-31 12:00:00,,
atm,global,daily,s3://ncar-cesm2-lens/atm/daily/cesm2LE-ssp370-smbb-TS.zarr,ssp370,smbb,TS,Surface temperature (radiative),2015-01-01 12:00:00,2100-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-historical-cmip6-FSNO.zarr,historical,cmip6,FSNO,fraction of ground covered by snow,1850-01-01 12:00:00,2014-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-historical-cmip6-H2OSNO.zarr,historical,cmip6,H2OSNO,snow depth (liquid water),1850-01-01 12:00:00,2014-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-historical-cmip6-NPP.zarr,historical,cmip6,NPP,net primary production,1850-01-01 12:00:00,2014-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-historical-cmip6-QRUNOFF.zarr,historical,cmip6,QRUNOFF,total liquid runoff not including correction for land use change,1850-01-01 12:00:00,2014-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-historical-cmip6-RAIN.zarr,historical,cmip6,RAIN,"atmospheric rain, after rain/snow repartitioning based on temperature",1850-01-01 12:00:00,2014-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-historical-cmip6-SNOW.zarr,historical,cmip6,SNOW,"atmospheric snow, after rain/snow repartitioning based on temperature",1850-01-01 12:00:00,2014-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-historical-cmip6-SOILWATER_10CM.zarr,historical,cmip6,SOILWATER_10CM,soil liquid water + ice in top 10cm of soil (veg landunits only),1850-01-01 12:00:00,2014-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-historical-smbb-FSNO.zarr,historical,smbb,FSNO,fraction of ground covered by snow,1850-01-01 12:00:00,2014-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-historical-smbb-H2OSNO.zarr,historical,smbb,H2OSNO,snow depth (liquid water),1850-01-01 12:00:00,2014-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-historical-smbb-NPP.zarr,historical,smbb,NPP,net primary production,1850-01-01 12:00:00,2014-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-historical-smbb-QRUNOFF.zarr,historical,smbb,QRUNOFF,total liquid runoff not including correction for land use change,1850-01-01 12:00:00,2014-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-historical-smbb-RAIN.zarr,historical,smbb,RAIN,"atmospheric rain, after rain/snow repartitioning based on temperature",1850-01-01 12:00:00,2014-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-historical-smbb-SNOW.zarr,historical,smbb,SNOW,"atmospheric snow, after rain/snow repartitioning based on temperature",1850-01-01 12:00:00,2014-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-historical-smbb-SOILWATER_10CM.zarr,historical,smbb,SOILWATER_10CM,soil liquid water + ice in top 10cm of soil (veg landunits only),1850-01-01 12:00:00,2014-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-ssp370-cmip6-FSNO.zarr,ssp370,cmip6,FSNO,fraction of ground covered by snow,2015-01-01 12:00:00,2100-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-ssp370-cmip6-H2OSNO.zarr,ssp370,cmip6,H2OSNO,snow depth (liquid water),2015-01-01 12:00:00,2100-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-ssp370-cmip6-NPP.zarr,ssp370,cmip6,NPP,net primary production,2015-01-01 12:00:00,2100-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-ssp370-cmip6-QRUNOFF.zarr,ssp370,cmip6,QRUNOFF,total liquid runoff not including correction for land use change,2015-01-01 12:00:00,2100-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-ssp370-cmip6-RAIN.zarr,ssp370,cmip6,RAIN,"atmospheric rain, after rain/snow repartitioning based on temperature",2015-01-01 12:00:00,2100-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-ssp370-cmip6-SNOW.zarr,ssp370,cmip6,SNOW,"atmospheric snow, after rain/snow repartitioning based on temperature",2015-01-01 12:00:00,2100-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-ssp370-cmip6-SOILWATER_10CM.zarr,ssp370,cmip6,SOILWATER_10CM,soil liquid water + ice in top 10cm of soil (veg landunits only),2015-01-01 12:00:00,2100-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-ssp370-smbb-FSNO.zarr,ssp370,smbb,FSNO,fraction of ground covered by snow,2015-01-01 12:00:00,2100-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-ssp370-smbb-H2OSNO.zarr,ssp370,smbb,H2OSNO,snow depth (liquid water),2015-01-01 12:00:00,2100-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-ssp370-smbb-NPP.zarr,ssp370,smbb,NPP,net primary production,2015-01-01 12:00:00,2100-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-ssp370-smbb-QRUNOFF.zarr,ssp370,smbb,QRUNOFF,total liquid runoff not including correction for land use change,2015-01-01 12:00:00,2100-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-ssp370-smbb-RAIN.zarr,ssp370,smbb,RAIN,"atmospheric rain, after rain/snow repartitioning based on temperature",2015-01-01 12:00:00,2100-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-ssp370-smbb-SNOW.zarr,ssp370,smbb,SNOW,"atmospheric snow, after rain/snow repartitioning based on temperature",2015-01-01 12:00:00,2100-12-31 12:00:00,,
lnd,global_land,daily,s3://ncar-cesm2-lens/lnd/daily/cesm2LE-ssp370-smbb-SOILWATER_10CM.zarr,ssp370,smbb,SOILWATER_10CM,soil liquid water + ice in top 10cm of soil (veg landunits only),2015-01-01 12:00:00,2100-12-31 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-historical-cmip6-DIC.zarr,historical,cmip6,DIC,Dissolved Inorganic Carbon,1850-01-16 12:00:00,2014-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-historical-cmip6-O2.zarr,historical,cmip6,O2,Dissolved Oxygen,1850-01-16 12:00:00,2014-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-historical-cmip6-SALT.zarr,historical,cmip6,SALT,Salinity,1850-01-16 12:00:00,2014-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr,historical,cmip6,TEMP,Potential Temperature,1850-01-16 12:00:00,2014-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-historical-cmip6-UES.zarr,historical,cmip6,UES,Salt Flux in grid-x direction,1850-01-16 12:00:00,2014-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-historical-cmip6-UVEL.zarr,historical,cmip6,UVEL,Velocity in grid-x direction,1850-01-16 12:00:00,2014-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-historical-cmip6-VNS.zarr,historical,cmip6,VNS,Salt Flux in grid-y direction,1850-01-16 12:00:00,2014-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-historical-cmip6-VNT.zarr,historical,cmip6,VNT,Flux of Heat in grid-y direction,1850-01-16 12:00:00,2014-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-historical-cmip6-WTT.zarr,historical,cmip6,WTT,Heat Flux Across Top Face,1850-01-16 12:00:00,2014-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-historical-cmip6-WVEL.zarr,historical,cmip6,WVEL,Vertical Velocity,1850-01-16 12:00:00,2014-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-historical-smbb-DIC.zarr,historical,smbb,DIC,Dissolved Inorganic Carbon,1850-01-16 12:00:00,2014-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-historical-smbb-DOC.zarr,historical,smbb,DOC,Dissolved Organic Carbon,1850-01-16 12:00:00,2014-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-historical-smbb-O2.zarr,historical,smbb,O2,Dissolved Oxygen,1850-01-16 12:00:00,2014-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-historical-smbb-SALT.zarr,historical,smbb,SALT,Salinity,1850-01-16 12:00:00,2014-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-historical-smbb-UES.zarr,historical,smbb,UES,Salt Flux in grid-x direction,1850-01-16 12:00:00,2014-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-historical-smbb-UET.zarr,historical,smbb,UET,Flux of Heat in grid-x direction,1850-01-16 12:00:00,2014-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-historical-smbb-UVEL.zarr,historical,smbb,UVEL,Velocity in grid-x direction,1850-01-16 12:00:00,2014-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-historical-smbb-VNS.zarr,historical,smbb,VNS,Salt Flux in grid-y direction,1850-01-16 12:00:00,2014-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-historical-smbb-VNT.zarr,historical,smbb,VNT,Flux of Heat in grid-y direction,1850-01-16 12:00:00,2014-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-historical-smbb-WTT.zarr,historical,smbb,WTT,Heat Flux Across Top Face,1850-01-16 12:00:00,2014-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-ssp370-cmip6-DIC.zarr,ssp370,cmip6,DIC,Dissolved Inorganic Carbon,2015-01-16 12:00:00,2100-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-ssp370-cmip6-DOC.zarr,ssp370,cmip6,DOC,Dissolved Organic Carbon,2015-01-16 12:00:00,2100-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-ssp370-cmip6-O2.zarr,ssp370,cmip6,O2,Dissolved Oxygen,2015-01-16 12:00:00,2100-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-ssp370-cmip6-PD.zarr,ssp370,cmip6,PD,Potential Density Ref to Surface,2015-01-16 12:00:00,2100-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-ssp370-cmip6-SALT.zarr,ssp370,cmip6,SALT,Salinity,2015-01-16 12:00:00,2100-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-ssp370-cmip6-TEMP.zarr,ssp370,cmip6,TEMP,Potential Temperature,2015-01-16 12:00:00,2100-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-ssp370-cmip6-UES.zarr,ssp370,cmip6,UES,Salt Flux in grid-x direction,2015-01-16 12:00:00,2100-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-ssp370-cmip6-UET.zarr,ssp370,cmip6,UET,Flux of Heat in grid-x direction,2015-01-16 12:00:00,2100-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-ssp370-cmip6-UVEL.zarr,ssp370,cmip6,UVEL,Velocity in grid-x direction,2015-01-16 12:00:00,2100-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-ssp370-cmip6-VNS.zarr,ssp370,cmip6,VNS,Salt Flux in grid-y direction,2015-01-16 12:00:00,2100-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-ssp370-cmip6-VNT.zarr,ssp370,cmip6,VNT,Flux of Heat in grid-y direction,2015-01-16 12:00:00,2100-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-ssp370-cmip6-VVEL.zarr,ssp370,cmip6,VVEL,Velocity in grid-y direction,2015-01-16 12:00:00,2100-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-ssp370-cmip6-WTS.zarr,ssp370,cmip6,WTS,Salt Flux Across Top Face,2015-01-16 12:00:00,2100-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-ssp370-cmip6-WTT.zarr,ssp370,cmip6,WTT,Heat Flux Across Top Face,2015-01-16 12:00:00,2100-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-ssp370-cmip6-WVEL.zarr,ssp370,cmip6,WVEL,Vertical Velocity,2015-01-16 12:00:00,2100-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-ssp370-smbb-DIC.zarr,ssp370,smbb,DIC,Dissolved Inorganic Carbon,2015-01-16 12:00:00,2100-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-ssp370-smbb-DOC.zarr,ssp370,smbb,DOC,Dissolved Organic Carbon,2015-01-16 12:00:00,2100-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-ssp370-smbb-O2.zarr,ssp370,smbb,O2,Dissolved Oxygen,2015-01-16 12:00:00,2100-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-ssp370-smbb-PD.zarr,ssp370,smbb,PD,Potential Density Ref to Surface,2015-01-16 12:00:00,2100-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-ssp370-smbb-SALT.zarr,ssp370,smbb,SALT,Salinity,2015-01-16 12:00:00,2100-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-ssp370-smbb-TEMP.zarr,ssp370,smbb,TEMP,Potential Temperature,2015-01-16 12:00:00,2100-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-ssp370-smbb-UES.zarr,ssp370,smbb,UES,Salt Flux in grid-x direction,2015-01-16 12:00:00,2100-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-ssp370-smbb-UET.zarr,ssp370,smbb,UET,Flux of Heat in grid-x direction,2015-01-16 12:00:00,2100-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-ssp370-smbb-UVEL.zarr,ssp370,smbb,UVEL,Velocity in grid-x direction,2015-01-16 12:00:00,2100-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-ssp370-smbb-VNS.zarr,ssp370,smbb,VNS,Salt Flux in grid-y direction,2015-01-16 12:00:00,2100-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-ssp370-smbb-VNT.zarr,ssp370,smbb,VNT,Flux of Heat in grid-y direction,2015-01-16 12:00:00,2100-12-16 12:00:00,,
ocn,global_ocean,monthly,s3://ncar-cesm2-lens/ocn/monthly/cesm2LE-ssp370-smbb-VVEL.zarr,ssp370,smbb,VVEL,Velocity in grid-y direction,2015-01-16 12:00:00,2100-12-16 12:00:00,,
